count = 1: 000211012, 政治學, 蔡中民
count = 2: 000213002, 經濟學, 王國樑、李為楨
count = 3: 000216001, 社會學, 姜以琳
count = 4: 000217002, 個體經濟學, 江品慧
count = 5: 000217012, 個體經濟學, 陳鎮洲
count = 6: 000217022, 個體經濟學, 李慧琳
count = 7: 000217042, 個體經濟學, 黃柏鈞
count = 8: 000218002, 總體經濟學, 洪福聲
count = 9: 000218012, 總體經濟學, 洪福聲
count = 10: 000218042, 總體經濟學, 黃明聖
count = 11: 000218052, 總體經濟學, 吳致謙
count = 12: 000219012, 經濟學, 朱美麗
count = 13: 000219022, 經濟學, 翁永和
count = 14: 000219032, 經濟學, 王信實
count = 15: 000219042, 經濟學, 陳心蘋
count = 16: 000219052, 經濟學, 李文傑
count = 17: 000219082, 經濟學, 廖郁萍
count = 18: 000219112, 經濟學, 彭喜樞
count = 19: 000219122, 經濟學, 胡偉民
count = 20: 000219512, 經濟學, 吳文傑
count = 21: 000219532, 經濟學, 林信助
count = 22: 000219542, 經濟學, 鄭鴻章
count = 23: 000219552, 經濟學, 饒秀華
